,charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
0,UTF-8,OSGZKNISWUKBMJ6CRHDXLZ3PZJU3WHCB,crawl-data/CC-MAIN-2019-13/segments/1552912202450.64/warc/CC-MAIN-20190320170159-20190320192159-00119.warc.gz,eng,42649,text/html,text/html,706601166,200,20190320171339,https://www.bicycling.com/,"com,bicycling)/"
1,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912203548.81/crawldiagnostics/CC-MAIN-20190325031213-20190325053213-00248.warc.gz,,584,unk,application/octet-stream,8526421,301,20190325034507,http://www.bicycling.com/,"com,bicycling)/"
2,UTF-8,6FT2XTNY2QOQCFFZIP3IKVFZ3E2NDZ4M,crawl-data/CC-MAIN-2019-13/segments/1552912203548.81/warc/CC-MAIN-20190325031213-20190325053213-00119.warc.gz,eng,42485,text/html,text/html,693831221,200,20190325034507,https://www.bicycling.com/,"com,bicycling)/"
3,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912204086.87/crawldiagnostics/CC-MAIN-20190325174034-20190325200034-00450.warc.gz,,592,unk,text/html,7975680,301,20190325174814,"http://www.bicycling.com/0,3235,s1,00.html","com,bicycling)/0,3235,s1,00.html"
4,,X6KKWDQW22RSUUE4DT462XB3NJDVLU4G,crawl-data/CC-MAIN-2019-13/segments/1552912204086.87/crawldiagnostics/CC-MAIN-20190325174034-20190325200034-00499.warc.gz,,25095,text/html,text/html,23280181,404,20190325174814,"https://www.bicycling.com/0,3235,s1,00.html","com,bicycling)/0,3235,s1,00.html"
5,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202450.86/crawldiagnostics/CC-MAIN-20190320190324-20190320212324-00083.warc.gz,,700,text/html,text/html,21967893,301,20190320192115,https://www.bicycling.com/2010-tour-de-france/tour-de-france-jerseys/,"com,bicycling)/2010-tour-de-france/tour-de-france-jerseys"
6,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202572.29/crawldiagnostics/CC-MAIN-20190321193403-20190321215403-00348.warc.gz,,725,text/html,text/html,23176076,301,20190321194740,https://www.bicycling.com/2012-tour-de-france/22-time-trial-bikes-of-the-2012-tour-de-france?slide=12/,"com,bicycling)/2012-tour-de-france/22-time-trial-bikes-of-the-2012-tour-de-france?slide=12/"
7,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202474.26/crawldiagnostics/CC-MAIN-20190320230554-20190321012554-00314.warc.gz,,713,text/html,text/html,21929561,301,20190320235751,https://www.bicycling.com/2014-tour-de-france/2014-tour-de-france/stages-of-the-2014-tour-de-france?slide=5/,"com,bicycling)/2014-tour-de-france/2014-tour-de-france/stages-of-the-2014-tour-de-france?slide=5/"
8,UTF-8,J7JEU6EQZTGC4LYAVBBI5IKE5K2XYE6Z,crawl-data/CC-MAIN-2019-13/segments/1552912203448.17/warc/CC-MAIN-20190324124545-20190324150545-00360.warc.gz,eng,39834,text/html,text/html,711699716,200,20190324132049,https://www.bicycling.com/about/a19181658/community-guidelines/,"com,bicycling)/about/a19181658/community-guidelines"
9,UTF-8,F5LWGQCHZ3MZL2PLBP4IXYCMGL5NFEWT,crawl-data/CC-MAIN-2019-13/segments/1552912202506.45/warc/CC-MAIN-20190321072128-20190321093920-00066.warc.gz,eng,39444,text/html,text/html,695707353,200,20190321073450,https://www.bicycling.com/about/a19181698/advertise-online/,"com,bicycling)/about/a19181698/advertise-online"
10,UTF-8,TRTSJIU6CBH4JECZ5GYA3KTW6MCTXR6E,crawl-data/CC-MAIN-2019-13/segments/1552912201953.19/warc/CC-MAIN-20190319093341-20190319115341-00260.warc.gz,eng,39704,text/html,text/html,712823058,200,20190319104043,https://www.bicycling.com/about/a19436368/about-bicycling/,"com,bicycling)/about/a19436368/about-bicycling"
11,UTF-8,T6MDDNORFXIU6K7SAINNND53VZGGTCPM,crawl-data/CC-MAIN-2019-13/segments/1552912202723.74/warc/CC-MAIN-20190323040640-20190323062640-00531.warc.gz,eng,41040,text/html,text/html,666523521,200,20190323042406,https://www.bicycling.com/about/a19436374/customer-service/,"com,bicycling)/about/a19436374/customer-service"
12,,NJDNE3J2F5D63O5BTDLH3YATBOFVIYYF,crawl-data/CC-MAIN-2019-13/segments/1552912202588.97/crawldiagnostics/CC-MAIN-20190321234128-20190322020128-00016.warc.gz,,25107,text/html,text/html,23674696,404,20190322003919,https://www.bicycling.com/active-living-guide/search/,"com,bicycling)/active-living-guide/search"
13,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912201882.11/crawldiagnostics/CC-MAIN-20190319012213-20190319034213-00040.warc.gz,,620,unk,application/octet-stream,8305598,301,20190319022931,http://www.bicycling.com/advocacy/2014-top-50-bike-friendly-cities/8-seattle,"com,bicycling)/advocacy/2014-top-50-bike-friendly-cities/8-seattle"
14,,BUATBCELFEKGWXRPPZCYAZD6DQRDTOW6,crawl-data/CC-MAIN-2019-13/segments/1552912201882.11/crawldiagnostics/CC-MAIN-20190319012213-20190319034213-00313.warc.gz,,25131,text/html,text/html,21644029,404,20190319022932,https://www.bicycling.com/advocacy/2014-top-50-bike-friendly-cities/8-seattle,"com,bicycling)/advocacy/2014-top-50-bike-friendly-cities/8-seattle"
15,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202474.26/crawldiagnostics/CC-MAIN-20190320230554-20190321012554-00307.warc.gz,,709,text/html,text/html,22425146,301,20190320232000,https://www.bicycling.com/advocacy/bike-denver-colorado/,"com,bicycling)/advocacy/bike-denver-colorado"
16,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202450.86/crawldiagnostics/CC-MAIN-20190320190324-20190320212324-00181.warc.gz,,709,text/html,text/html,23407673,301,20190320191318,https://www.bicycling.com/advocacy/culture/riding-cause/,"com,bicycling)/advocacy/culture/riding-cause"
17,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202588.97/crawldiagnostics/CC-MAIN-20190321234128-20190322020128-00554.warc.gz,,688,text/html,text/html,20778045,301,20190322000451,https://www.bicycling.com/allied-alfa/,"com,bicycling)/allied-alfa"
18,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202526.24/crawldiagnostics/CC-MAIN-20190321152638-20190321174638-00045.warc.gz,,616,unk,text/html,7868866,301,20190321154342,"http://www.bicycling.com/article/0,3253,s1-1035,00.html?category_id=365","com,bicycling)/article/0,3253,s1-1035,00.html?category_id=365"
19,,T4DN3UO6KRC65SKUUK55C4LKTDG5WKHW,crawl-data/CC-MAIN-2019-13/segments/1552912202526.24/crawldiagnostics/CC-MAIN-20190321152638-20190321174638-00444.warc.gz,,25120,text/html,text/html,22898379,404,20190321154343,"https://www.bicycling.com/article/0,3253,s1-1035,00.html?category_id=365","com,bicycling)/article/0,3253,s1-1035,00.html?category_id=365"
20,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912204768.52/crawldiagnostics/CC-MAIN-20190326014605-20190326040605-00396.warc.gz,,617,unk,text/html,8403927,301,20190326020642,"http://www.bicycling.com/article/0,5073,4181,00.html?category_id=364","com,bicycling)/article/0,5073,4181,00.html?category_id=364"
21,,WOENSZZU2GY2KTJLPJ7S7HZKGQKLP3KZ,crawl-data/CC-MAIN-2019-13/segments/1552912204768.52/crawldiagnostics/CC-MAIN-20190326014605-20190326040605-00205.warc.gz,,25116,text/html,text/html,23102079,404,20190326020642,"https://www.bicycling.com/article/0,5073,4181,00.html?category_id=364","com,bicycling)/article/0,5073,4181,00.html?category_id=364"
22,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202572.7/crawldiagnostics/CC-MAIN-20190321213516-20190321235516-00534.warc.gz,,604,unk,text/html,8199411,301,20190321222133,"http://www.bicycling.com/article/0,6610,s-1-13-17077-1,00.html","com,bicycling)/article/0,6610,s-1-13-17077-1,00.html"
23,,NJDNE3J2F5D63O5BTDLH3YATBOFVIYYF,crawl-data/CC-MAIN-2019-13/segments/1552912202572.7/crawldiagnostics/CC-MAIN-20190321213516-20190321235516-00343.warc.gz,,25119,text/html,text/html,22580303,404,20190321222133,"https://www.bicycling.com/article/0,6610,s-1-13-17077-1,00.html","com,bicycling)/article/0,6610,s-1-13-17077-1,00.html"
24,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912202450.64/crawldiagnostics/CC-MAIN-20190320170159-20190320192159-00389.warc.gz,,606,unk,text/html,8881785,301,20190320171817,"http://www.bicycling.com/article/0,6610,s-1-9-16564-1,00.html","com,bicycling)/article/0,6610,s-1-9-16564-1,00.html"
25,,NXCYPNA7EJIIUOR7BWCUQVGQ3QPZW7UU,crawl-data/CC-MAIN-2019-13/segments/1552912202450.64/crawldiagnostics/CC-MAIN-20190320170159-20190320192159-00260.warc.gz,,25110,text/html,text/html,22573693,404,20190320171817,"https://www.bicycling.com/article/0,6610,s-1-9-16564-1,00.html","com,bicycling)/article/0,6610,s-1-9-16564-1,00.html"
26,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912204086.87/crawldiagnostics/CC-MAIN-20190325174034-20190325200034-00168.warc.gz,,605,unk,text/html,8296693,301,20190325175147,"http://www.bicycling.com/article/0,6610,s-3-10-17106-1,00.html","com,bicycling)/article/0,6610,s-3-10-17106-1,00.html"
27,,X6KKWDQW22RSUUE4DT462XB3NJDVLU4G,crawl-data/CC-MAIN-2019-13/segments/1552912204086.87/crawldiagnostics/CC-MAIN-20190325174034-20190325200034-00537.warc.gz,,25107,text/html,text/html,24714112,404,20190325175147,"https://www.bicycling.com/article/0,6610,s-3-10-17106-1,00.html","com,bicycling)/article/0,6610,s-3-10-17106-1,00.html"
28,,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,crawl-data/CC-MAIN-2019-13/segments/1552912204086.87/crawldiagnostics/CC-MAIN-20190325174034-20190325200034-00286.warc.gz,,606,unk,text/html,7751333,301,20190325174753,"http://www.bicycling.com/article/0,6610,s-4-21-17570-1,00.html","com,bicycling)/article/0,6610,s-4-21-17570-1,00.html"
29,,X6KKWDQW22RSUUE4DT462XB3NJDVLU4G,crawl-data/CC-MAIN-2019-13/segments/1552912204086.87/crawldiagnostics/CC-MAIN-20190325174034-20190325200034-00095.warc.gz,,25110,text/html,text/html,23308348,404,20190325174754,"https://www.bicycling.com/article/0,6610,s-4-21-17570-1,00.html","com,bicycling)/article/0,6610,s-4-21-17570-1,00.html"
